Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily	SignalP_secretion_signal
Q#8 - WP_200682425.1	specific	200456	43	395	1.70444e-144	424.283	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#8 - WP_200682425.1	superfamily	449530	599	691	8.73069e-36	129.792	cl15347	CBM20 superfamily	 - 	 - 	Yes
Q#8 - WP_200682425.1	superfamily	449530	497	590	4.9690900000000004e-33	122.088	cl15347	CBM20 superfamily	 - 	 - 	Yes
Q#8 - WP_200682425.1	specific	214749	402	477	1.24922e-10	58.0181	smart00632	Aamy_C	 - 	cl02706	Yes
Q#9 - WP_150480468.1	superfamily	273974	952	1797	0.0	1014.75	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#9 - WP_150480468.1	specific	200478	61	530	7.54857e-147	456.33	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#9 - WP_150480468.1	specific	199215	734	833	5.8138e-35	129.374	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#9 - WP_150480468.1	specific	199215	843	934	6.3172e-32	120.515	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#9 - WP_150480468.1	specific	426991	545	619	0.000259381	41.5562	pfam02806	Alpha-amylase_C	 - 	cl02706	Yes
Q#10 - WP_194277969.1	specific	200456	32	373	5.3555600000000006e-176	495.545	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#10 - WP_194277969.1	specific	214749	379	453	5.04222e-27	103.472	smart00632	Aamy_C	 - 	cl02706	Yes
Q#11 - WP_180989517.1	specific	200478	61	527	1.69337e-149	438.611	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#11 - WP_180989517.1	specific	426991	542	617	2.81217e-06	46.1786	pfam02806	Alpha-amylase_C	 - 	cl02706	Yes
Q#12 - WP_030859230.1	superfamily	273974	949	1799	0.0	997.799	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#12 - WP_030859230.1	specific	200478	61	530	8.17579e-144	447.855	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#12 - WP_030859230.1	specific	199215	735	834	6.71597e-33	123.211	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#12 - WP_030859230.1	specific	461022	844	936	4.1518200000000005e-30	115.161	pfam03714	PUD	 - 	cl47835	Yes
Q#12 - WP_030859230.1	specific	214749	539	618	2.10337e-05	44.5361	smart00632	Aamy_C	 - 	cl02706	Yes
Q#13 - WP_142233157.1	specific	200456	32	373	8.031020000000001e-166	469.736	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#13 - WP_142233157.1	specific	214749	379	453	1.0464499999999999e-27	105.398	smart00632	Aamy_C	 - 	cl02706	Yes
Q#14 - WP_240499344.1	superfamily	476817	32	203	1.17188e-84	253.254	cl38930	AmyAc_family superfamily	C	 - 	Yes
Q#15 - WP_182468867.1	superfamily	273974	40	878	0.0	956.583	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#16 - WP_073769449.1	specific	200456	39	381	1.2834800000000001e-174	496.7	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#16 - WP_073769449.1	specific	99883	477	572	9.033849999999999e-43	148.281	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#16 - WP_073769449.1	specific	214749	387	463	5.62682e-30	112.716	smart00632	Aamy_C	 - 	cl02706	Yes
Q#17 - WP_073766750.1	specific	200456	33	364	4.23421e-145	416.964	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#17 - WP_073766750.1	specific	214749	371	450	1.51485e-28	107.324	smart00632	Aamy_C	 - 	cl02706	Yes
Q#18 - WP_030314233.1	specific	200456	35	376	1.4417699999999998e-167	478.981	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#18 - WP_030314233.1	specific	99883	477	571	1.48621e-50	169.082	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#18 - WP_030314233.1	specific	214749	382	458	1.54173e-29	111.176	smart00632	Aamy_C	 - 	cl02706	Yes
Q#19 - WP_030412448.1	specific	200456	37	368	1.55232e-155	443.928	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#19 - WP_030412448.1	specific	214749	374	455	4.94861e-32	116.954	smart00632	Aamy_C	 - 	cl02706	Yes
Q#20 - WP_190200522.1	superfamily	273974	952	1796	0.0	987.399	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#20 - WP_190200522.1	specific	200478	61	530	2.3823e-139	435.914	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#20 - WP_190200522.1	specific	199215	734	833	1.05908e-33	125.522	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#20 - WP_190200522.1	specific	199215	842	935	1.02359e-28	111.27	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#20 - WP_190200522.1	specific	426991	545	620	0.000958616	40.0154	pfam02806	Alpha-amylase_C	 - 	cl02706	Yes
Q#21 - WP_133898224.1	specific	200456	37	378	2.25651e-171	488.226	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#21 - WP_133898224.1	specific	99883	473	567	2.5550500000000003e-44	152.133	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#21 - WP_133898224.1	specific	214749	384	460	5.97577e-28	106.938	smart00632	Aamy_C	 - 	cl02706	Yes
Q#22 - WP_109499207.1	specific	200456	41	392	1.41133e-142	419.275	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#22 - WP_109499207.1	superfamily	449530	595	687	6.84732e-36	130.177	cl15347	CBM20 superfamily	 - 	 - 	Yes
Q#22 - WP_109499207.1	superfamily	449530	493	586	2.18015e-32	120.547	cl15347	CBM20 superfamily	 - 	 - 	Yes
Q#22 - WP_109499207.1	specific	214749	398	474	6.51449e-13	64.5665	smart00632	Aamy_C	 - 	cl02706	Yes
Q#23 - WP_057662236.1	specific	200456	39	380	1.5740199999999998e-169	483.989	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#23 - WP_057662236.1	specific	99883	480	575	2.9534e-44	152.133	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#23 - WP_057662236.1	specific	214749	386	462	1.14064e-28	108.864	smart00632	Aamy_C	 - 	cl02706	Yes
Q#24 - WP_115745516.1	specific	200478	365	902	7.394660000000001e-120	370.045	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#24 - WP_115745516.1	specific	367491	151	255	3.72281e-49	169.204	pfam03423	CBM_25	 - 	cl23798	Yes
Q#24 - WP_115745516.1	specific	198134	50	125	1.79391e-22	92.4192	smart01066	CBM_25	 - 	cl23798	Yes
Q#24 - WP_115745516.1	superfamily	476817	406	642	4.05572e-16	82.1193	cl38930	AmyAc_family superfamily	C	 - 	Yes
Q#24 - WP_115745516.1	specific	238020	260	329	2.25567e-06	46.7207	cd00063	FN3	 - 	cl21522	Yes
Q#25 - WP_129260632.1	specific	200478	363	900	4.8487900000000004e-119	368.119	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#25 - WP_129260632.1	specific	367491	150	253	2.7571900000000002e-33	123.75	pfam03423	CBM_25	 - 	cl23798	Yes
Q#25 - WP_129260632.1	specific	367491	48	142	5.0142600000000003e-23	94.475	pfam03423	CBM_25	 - 	cl23798	Yes
Q#25 - WP_129260632.1	superfamily	182849	404	635	9.34792e-13	72.0883	cl32612	PRK10933 superfamily	C	 - 	Yes
Q#25 - WP_129260632.1	specific	238020	258	332	2.84039e-08	52.1135	cd00063	FN3	 - 	cl21522	Yes
Q#26 - WP_093691786.1	specific	200456	39	380	4.6779e-176	500.552	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#26 - WP_093691786.1	specific	99883	481	574	4.68418e-44	151.748	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#26 - WP_093691786.1	specific	214749	386	462	6.70007e-31	115.028	smart00632	Aamy_C	 - 	cl02706	Yes
Q#27 - WP_098897002.1	specific	200478	369	906	1.869e-118	366.578	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#27 - WP_098897002.1	specific	367491	158	259	8.09898e-35	128.373	pfam03423	CBM_25	 - 	cl23798	Yes
Q#27 - WP_098897002.1	superfamily	476817	410	646	1.26544e-27	116.528	cl38930	AmyAc_family superfamily	C	 - 	Yes
Q#27 - WP_098897002.1	specific	198134	53	128	2.37926e-20	86.256	smart01066	CBM_25	 - 	cl23798	Yes
Q#27 - WP_098897002.1	superfamily	442628	106	361	3.91032e-11	66.9496	cl27307	FN3 superfamily	C	 - 	Yes
Q#28 - WP_189598482.1	specific	200478	366	903	1.25837e-118	366.964	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#28 - WP_189598482.1	specific	367491	152	256	2.17061e-43	152.64	pfam03423	CBM_25	 - 	cl23798	Yes
Q#28 - WP_189598482.1	specific	198134	46	126	5.322530000000001e-23	93.5748	smart01066	CBM_25	 - 	cl23798	Yes
Q#28 - WP_189598482.1	superfamily	476817	407	643	1.48602e-14	77.1117	cl38930	AmyAc_family superfamily	C	 - 	Yes
Q#28 - WP_189598482.1	superfamily	442628	256	384	4.38317e-13	73.1128	cl27307	FN3 superfamily	NC	 - 	Yes
Q#29 - WP_126271515.1	specific	200456	35	376	8.52016e-164	464.729	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#29 - WP_126271515.1	specific	214749	382	456	5.73255e-27	103.086	smart00632	Aamy_C	 - 	cl02706	Yes
Q#30 - WP_169085476.1	superfamily	273974	906	1760	0.0	1019.37	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#30 - WP_169085476.1	specific	200478	49	509	7.337199999999999e-144	447.855	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#30 - WP_169085476.1	specific	199215	801	893	1.2567100000000001e-30	116.663	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#30 - WP_169085476.1	specific	199215	707	792	1.89155e-17	79.2985	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#31 - WP_217237113.1	specific	200456	35	376	5.6681300000000005e-160	455.099	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#31 - WP_217237113.1	specific	214749	382	456	4.50701e-26	100.775	smart00632	Aamy_C	 - 	cl02706	Yes
Q#32 - WP_010637457.1	specific	200456	34	375	8.52638e-173	492.078	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#32 - WP_010637457.1	specific	99883	472	565	3.8674099999999995e-43	149.052	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#32 - WP_010637457.1	specific	214749	381	457	8.5774e-31	114.642	smart00632	Aamy_C	 - 	cl02706	Yes
Q#33 - WP_200711631.1	superfamily	273974	946	1799	0.0	998.184	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#33 - WP_200711631.1	specific	200478	61	530	8.82511e-149	461.337	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#33 - WP_200711631.1	specific	461022	733	829	1.16266e-31	119.783	pfam03714	PUD	 - 	cl47835	Yes
Q#33 - WP_200711631.1	specific	199215	841	933	8.27581e-29	111.655	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#33 - WP_200711631.1	specific	426991	549	617	1.89806e-06	47.7194	pfam02806	Alpha-amylase_C	 - 	cl02706	Yes
Q#34 - WP_210977286.1	superfamily	273974	948	1802	0.0	998.955	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#34 - WP_210977286.1	specific	200478	61	530	3.30722e-145	451.707	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#34 - WP_210977286.1	specific	199215	734	833	1.32784e-33	125.522	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#34 - WP_210977286.1	specific	199215	842	935	1.32444e-31	119.744	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#34 - WP_210977286.1	specific	214749	539	617	0.000216412	41.4545	smart00632	Aamy_C	 - 	cl02706	Yes
Q#35 - WP_031040439.1	superfamily	273974	946	1799	0.0	1025.53	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#35 - WP_031040439.1	specific	200478	61	528	1.48378e-148	460.952	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#35 - WP_031040439.1	specific	461022	733	829	3.66434e-33	124.02	pfam03714	PUD	 - 	cl47835	Yes
Q#35 - WP_031040439.1	specific	199215	840	933	4.71833e-31	118.204	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#35 - WP_031040439.1	superfamily	445893	537	615	0.00912971	36.8321	cl02706	Malt_amylase_C superfamily	 - 	 - 	Yes
Q#36 - WP_010037049.1	specific	200456	32	373	8.20843e-166	469.736	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#36 - WP_010037049.1	specific	214749	379	453	1.39696e-28	107.709	smart00632	Aamy_C	 - 	cl02706	Yes
Q#37 - WP_103530170.1	specific	200456	39	380	2.39209e-171	488.611	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#37 - WP_103530170.1	specific	99883	480	575	1.18066e-41	145.2	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#37 - WP_103530170.1	specific	214749	386	462	7.022820000000001e-29	109.635	smart00632	Aamy_C	 - 	cl02706	Yes
Q#38 - WP_164237461.1	superfamily	273974	916	1771	0.0	983.932	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#38 - WP_164237461.1	specific	200478	52	514	4.45799e-148	459.411	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#38 - WP_164237461.1	specific	461022	812	902	2.23427e-25	101.679	pfam03714	PUD	 - 	cl47835	Yes
Q#38 - WP_164237461.1	specific	199215	716	796	2.68139e-13	67.3573	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#38 - WP_164237461.1	superfamily	476817	140	239	0.000111412	46.7192	cl38930	AmyAc_family superfamily	C	 - 	Yes
Q#39 - WP_190145881.1	superfamily	273974	48	880	0.0	924.226	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#40 - WP_030747621.1	specific	200456	34	375	8.40867e-162	463.958	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#40 - WP_030747621.1	specific	99883	471	565	8.64774e-47	158.682	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#40 - WP_030747621.1	specific	214749	381	457	7.91944e-31	115.028	smart00632	Aamy_C	 - 	cl02706	Yes
Q#41 - WP_030618896.1	specific	200456	44	395	6.58277e-140	412.342	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#41 - WP_030618896.1	superfamily	449530	597	689	2.18921e-35	129.021	cl15347	CBM20 superfamily	 - 	 - 	Yes
Q#41 - WP_030618896.1	superfamily	449530	497	588	5.39982e-32	119.391	cl15347	CBM20 superfamily	 - 	 - 	Yes
Q#41 - WP_030618896.1	specific	214749	402	476	2.43965e-11	59.9441	smart00632	Aamy_C	 - 	cl02706	Yes
Q#42 - WP_030116727.1	specific	200478	369	906	1.46329e-116	361.571	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#42 - WP_030116727.1	specific	367491	155	259	1.01251e-34	127.987	pfam03423	CBM_25	 - 	cl23798	Yes
Q#42 - WP_030116727.1	superfamily	476817	410	646	3.6459300000000002e-28	118.069	cl38930	AmyAc_family superfamily	C	 - 	Yes
Q#42 - WP_030116727.1	specific	198134	53	128	6.941279999999999e-20	84.7152	smart01066	CBM_25	 - 	cl23798	Yes
Q#42 - WP_030116727.1	superfamily	442628	182	359	3.58818e-11	66.9496	cl27307	FN3 superfamily	NC	 - 	Yes
Q#43 - WP_126271514.1	superfamily	273974	945	1799	0.0	1010.9	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#43 - WP_126271514.1	specific	200478	61	527	2.18511e-148	460.567	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#43 - WP_126271514.1	specific	461022	732	828	4.0774300000000004e-33	124.02	pfam03714	PUD	 - 	cl47835	Yes
Q#43 - WP_126271514.1	specific	199215	839	932	5.35325e-31	117.818	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#43 - WP_126271514.1	specific	426991	546	616	0.000159318	42.3266	pfam02806	Alpha-amylase_C	 - 	cl02706	Yes
Q#43 - WP_126271514.1	superfamily	481241	582	761	0.00348688	42.1703	cl46901	PRK12323 superfamily	NC	 - 	Yes
Q#44 - WP_416385403.1	superfamily	273974	51	873	0.0	961.205	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#45 - WP_010057706.1	specific	200456	39	380	2.5397e-173	493.619	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#45 - WP_010057706.1	specific	99883	481	576	4.16753e-43	149.052	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#45 - WP_010057706.1	specific	214749	386	462	2.9348299999999997e-31	116.183	smart00632	Aamy_C	 - 	cl02706	Yes
Q#46 - WP_200682424.1	superfamily	273974	946	1799	0.0	982.006	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#46 - WP_200682424.1	specific	200478	61	530	2.59818e-148	460.182	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#46 - WP_200682424.1	specific	199215	732	831	2.15399e-33	124.752	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#46 - WP_200682424.1	specific	199215	840	933	4.5317300000000003e-29	112.426	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#46 - WP_200682424.1	specific	214749	539	615	1.59359e-07	50.3141	smart00632	Aamy_C	 - 	cl02706	Yes
Q#47 - WP_150469145.1	specific	200456	41	381	2.3921900000000002e-170	485.915	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#47 - WP_150469145.1	specific	99883	477	570	2.12995e-47	160.608	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#47 - WP_150469145.1	specific	214749	387	463	1.37258e-28	108.479	smart00632	Aamy_C	 - 	cl02706	Yes
Q#48 - WP_084996000.1	superfamily	273974	919	1774	0.0	983.547	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#48 - WP_084996000.1	specific	200478	52	514	9.36998e-149	460.952	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#48 - WP_084996000.1	specific	199215	814	905	1.7220100000000001e-26	105.107	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#48 - WP_084996000.1	superfamily	476817	140	239	0.00916466	40.556	cl38930	AmyAc_family superfamily	C	 - 	Yes
Q#49 - WP_109499208.1	specific	200456	35	376	8.76305e-166	470.122	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#49 - WP_109499208.1	specific	214749	382	456	2.4480599999999998e-27	104.242	smart00632	Aamy_C	 - 	cl02706	Yes
Q#50 - WP_150519887.1	specific	200456	38	379	6.53526e-171	487.456	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#50 - WP_150519887.1	specific	99883	476	570	4.5007e-45	154.444	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#50 - WP_150519887.1	specific	214749	385	461	5.1421300000000004e-30	112.716	smart00632	Aamy_C	 - 	cl02706	Yes
Q#51 - WP_098024062.1	superfamily	273974	916	1769	0.0	975.843	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#51 - WP_098024062.1	specific	200478	52	514	2.91411e-145	451.707	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#51 - WP_098024062.1	specific	199215	811	902	4.00285e-27	107.033	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#51 - WP_098024062.1	specific	199215	716	796	1.22595e-14	71.2093	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#52 - WP_167538311.1	superfamily	273974	42	876	0.0	967.754	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#53 - WP_162468176.1	superfamily	273974	947	1799	0.0	1032.08	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#53 - WP_162468176.1	specific	200478	61	529	4.90208e-146	454.019	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#53 - WP_162468176.1	specific	461022	734	830	2.53086e-32	121.709	pfam03714	PUD	 - 	cl47835	Yes
Q#53 - WP_162468176.1	specific	461022	842	934	2.97949e-29	112.85	pfam03714	PUD	 - 	cl47835	Yes
Q#53 - WP_162468176.1	specific	214749	538	616	8.68911e-05	42.6101	smart00632	Aamy_C	 - 	cl02706	Yes
Q#54 - WP_014045542.1	superfamily	273974	916	1770	0.0	969.68	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#54 - WP_014045542.1	specific	200478	53	512	5.60003e-143	445.544	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#54 - WP_014045542.1	specific	461022	812	900	1.55724e-28	110.924	pfam03714	PUD	 - 	cl47835	Yes
Q#54 - WP_014045542.1	specific	461022	715	795	4.04335e-16	75.4852	pfam03714	PUD	 - 	cl47835	Yes
Q#54 - WP_014045542.1	superfamily	442628	439	873	0.00404531	41.9116	cl27307	FN3 superfamily	 - 	 - 	Yes
Q#55 - WP_189307633.1	specific	200456	33	374	1.6308099999999999e-167	474.359	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#55 - WP_189307633.1	specific	214749	381	454	3.6352e-28	106.553	smart00632	Aamy_C	 - 	cl02706	Yes
Q#56 - WP_014049424.1	specific	200456	37	368	6.84076e-148	424.283	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#56 - WP_014049424.1	specific	214749	374	457	1.10033e-33	121.576	smart00632	Aamy_C	 - 	cl02706	Yes
Q#57 - WP_109166026.1	specific	200456	40	381	2.56474e-175	498.626	cd11317	AmyAc_bac_euk_AmyA	 - 	cl38930	Yes
Q#57 - WP_109166026.1	specific	99883	479	574	5.895029999999999e-45	154.059	cd05808	CBM20_alpha_amylase	 - 	cl15347	Yes
Q#57 - WP_109166026.1	specific	214749	387	463	3.42529e-30	113.102	smart00632	Aamy_C	 - 	cl02706	Yes
Q#58 - WP_044381148.1	superfamily	273974	950	1800	0.0	1021.3	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#58 - WP_044381148.1	specific	200478	61	530	6.67027e-145	450.937	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#58 - WP_044381148.1	specific	199215	734	833	2.39814e-33	124.752	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#58 - WP_044381148.1	specific	199215	845	936	3.74842e-33	123.982	cd10315	CBM41_pullulanase	 - 	cl47018	Yes
Q#58 - WP_044381148.1	superfamily	465521	501	732	9.83159e-06	50.3435	cl39316	DUF5585 superfamily	C	 - 	Yes
Q#59 - WP_094218176.1	superfamily	273974	945	1798	0.0	1034.78	cl37055	pullul_strch superfamily	 - 	 - 	Yes
Q#59 - WP_094218176.1	specific	200478	61	527	1.0493999999999999e-148	461.337	cd11339	AmyAc_bac_CMD_like_2	 - 	cl38930	Yes
Q#59 - WP_094218176.1	specific	461022	732	828	6.24471e-32	120.554	pfam03714	PUD	 - 	cl47835	Yes
